Attack,Round,Candidate,num_correction_pairs,max_line_search_iterations,tolerance,f_relative_tolerance,init_step_size,final_step_size,alpha,Image,Client,Input MSE,Input PSNR,Input SSIM
InvertingGradients,1,1,,,,,0.05,0.003,1e-14,0,1,0.03446849063038826,14.625776290893555,0.564009428024292
InvertingGradients,1,2,,,,,0.05,0.003,1e-10,0,1,0.02807706594467163,15.51648235321045,0.5723983645439148
InvertingGradients,1,3,,,,,0.05,0.003,1e-06,0,1,0.040023814886808395,13.976814270019531,0.4306882619857788
InvertingGradients,1,4,,,,,0.05,0.01,1e-14,0,1,0.030774809420108795,15.118045806884766,0.587287425994873
InvertingGradients,1,5,,,,,0.05,0.01,1e-10,0,1,0.024053113535046577,16.18828582763672,0.6046209931373596
InvertingGradients,1,6,,,,,0.05,0.01,1e-06,0,1,0.033212821930646896,14.786942481994629,0.49068084359169006
InvertingGradients,1,7,,,,,0.05,0.03,1e-14,0,1,0.026816129684448242,15.716038703918457,0.6104963421821594
InvertingGradients,1,8,,,,,0.05,0.03,1e-10,0,1,0.018269991502165794,17.38261604309082,0.6473459005355835
InvertingGradients,1,9,,,,,0.05,0.03,1e-06,0,1,0.021518448367714882,16.671890258789062,0.6052388548851013
InvertingGradients,1,10,,,,,0.1,0.003,1e-14,0,1,0.027307016775012016,15.637255668640137,0.6130505204200745
InvertingGradients,1,11,,,,,0.1,0.003,1e-10,0,1,0.0164177343249321,17.846866607666016,0.6706669330596924
InvertingGradients,1,12,,,,,0.1,0.003,1e-06,0,1,0.017443999648094177,17.583538055419922,0.6563770771026611
InvertingGradients,1,13,,,,,0.1,0.01,1e-14,0,1,0.028881147503852844,15.393854141235352,0.5930213332176208
InvertingGradients,1,14,,,,,0.1,0.01,1e-10,0,1,0.015864038839936256,17.99586296081543,0.6802327632904053
InvertingGradients,1,15,,,,,0.1,0.01,1e-06,0,1,0.016301630064845085,17.877689361572266,0.6674080491065979
InvertingGradients,1,16,,,,,0.1,0.03,1e-14,0,1,0.028410902246832848,15.465149879455566,0.5977120995521545
InvertingGradients,1,17,,,,,0.1,0.03,1e-10,0,1,0.014839597046375275,18.285778045654297,0.6836561560630798
InvertingGradients,1,18,,,,,0.1,0.03,1e-06,0,1,0.015001625753939152,18.238616943359375,0.6723220944404602
InvertingGradients,1,19,,,,,0.2,0.003,1e-14,0,1,0.04513333737850189,13.455024719238281,0.4838218688964844
InvertingGradients,1,20,,,,,0.2,0.003,1e-10,0,1,0.01332787424325943,18.752391815185547,0.6914610862731934
InvertingGradients,1,21,,,,,0.2,0.003,1e-06,0,1,0.01316786278039217,18.804845809936523,0.6954157948493958
InvertingGradients,1,22,,,,,0.2,0.01,1e-14,0,1,0.04427666589617729,13.538250923156738,0.48476314544677734
InvertingGradients,1,23,,,,,0.2,0.01,1e-10,0,1,0.013234796933829784,18.782827377319336,0.6934504508972168
InvertingGradients,1,24,,,,,0.2,0.01,1e-06,0,1,0.01336121279746294,18.741539001464844,0.6936553120613098
InvertingGradients,1,25,,,,,0.2,0.03,1e-14,0,1,0.04327639937400818,13.63748836517334,0.4900635778903961
InvertingGradients,1,26,,,,,0.2,0.03,1e-10,0,1,0.013363215140998363,18.740888595581055,0.6918959617614746
InvertingGradients,1,27,,,,,0.2,0.03,1e-06,0,1,0.013392415829002857,18.731409072875977,0.6889979243278503
InvertingGradients,2,1,,,,,0.020000000000000004,0.00030000000000000003,1e-07,0,1,0.08626395463943481,10.641705513000488,0.11506641656160355
InvertingGradients,2,2,,,,,0.020000000000000004,0.00030000000000000003,1e-06,0,1,0.08058326691389084,10.93755054473877,0.1337217539548874
InvertingGradients,2,3,,,,,0.020000000000000004,0.00030000000000000003,9.999999999999999e-06,0,1,0.08120919018983841,10.903947830200195,0.12888309359550476
InvertingGradients,2,4,,,,,0.020000000000000004,0.003,1e-07,0,1,0.07833974063396454,11.06017780303955,0.16511903703212738
InvertingGradients,2,5,,,,,0.020000000000000004,0.003,1e-06,0,1,0.07562164217233658,11.21353816986084,0.15582604706287384
InvertingGradients,2,6,,,,,0.020000000000000004,0.003,9.999999999999999e-06,0,1,0.07608580589294434,11.186963081359863,0.15431177616119385
InvertingGradients,2,7,,,,,0.2,0.00030000000000000003,1e-07,0,1,0.01350385695695877,18.69542121887207,0.6877874732017517
InvertingGradients,2,8,,,,,0.2,0.00030000000000000003,1e-06,0,1,0.013298806734383106,18.761871337890625,0.6893134713172913
InvertingGradients,2,9,,,,,0.2,0.00030000000000000003,9.999999999999999e-06,0,1,0.013603545725345612,18.663476943969727,0.6886832118034363
InvertingGradients,2,10,,,,,0.2,0.003,1e-07,0,1,0.013471808284521103,18.705739974975586,0.6899094581604004
InvertingGradients,2,11,,,,,0.2,0.003,1e-06,0,1,0.01316786278039217,18.804845809936523,0.6954157948493958
