Attack,Round,Candidate,num_correction_pairs,max_line_search_iterations,tolerance,f_relative_tolerance,init_step_size,final_step_size,alpha,Image,Client,Input MSE,Input PSNR,Input SSIM
InvertingGradients,1,1,,,,,0.01,0.001,1e-14,0,1,0.13766054809093475,8.61190414428711,0.023547763004899025
InvertingGradients,1,2,,,,,0.01,0.001,1e-13,0,1,0.13765710592269897,8.612013816833496,0.023547297343611717
InvertingGradients,1,3,,,,,0.01,0.001,1e-12,0,1,0.1376369148492813,8.612650871276855,0.02367992140352726
InvertingGradients,1,4,,,,,0.01,0.01,1e-14,0,1,0.09765251725912094,10.103164672851562,0.161377415060997
InvertingGradients,1,5,,,,,0.01,0.01,1e-13,0,1,0.0976014956831932,10.10543441772461,0.16149544715881348
InvertingGradients,1,6,,,,,0.01,0.01,1e-12,0,1,0.09715389460325241,10.125397682189941,0.16192595660686493
InvertingGradients,1,7,,,,,0.1,0.001,1e-14,0,1,0.02996130846440792,15.234392166137695,0.5884584188461304
InvertingGradients,1,8,,,,,0.1,0.001,1e-13,0,1,0.014493918977677822,18.388139724731445,0.6981604695320129
InvertingGradients,1,9,,,,,0.1,0.001,1e-12,0,1,0.009130344726145267,20.395126342773438,0.8083744049072266
InvertingGradients,1,10,,,,,0.1,0.01,1e-14,0,1,0.027290744706988335,15.639845848083496,0.6061174869537354
InvertingGradients,1,11,,,,,0.1,0.01,1e-13,0,1,0.013275387696921825,18.769527435302734,0.7056500911712646
InvertingGradients,1,12,,,,,0.1,0.01,1e-12,0,1,0.00919243786484003,20.365692138671875,0.8032000660896301
InvertingGradients,1,13,,,,,0.1,0.1,1e-14,0,1,0.032279230654239655,14.910767555236816,0.5580995082855225
InvertingGradients,1,14,,,,,0.1,0.1,1e-13,0,1,0.012890690006315708,18.897235870361328,0.6882762312889099
InvertingGradients,1,15,,,,,0.1,0.1,1e-12,0,1,0.008993878960609436,20.460529327392578,0.8041322827339172
InvertingGradients,1,16,,,,,1.0,0.001,1e-14,0,1,0.1045115664601326,9.808356285095215,0.29030492901802063
InvertingGradients,1,17,,,,,1.0,0.001,1e-13,0,1,0.08130473643541336,10.89884090423584,0.3116582930088043
InvertingGradients,1,18,,,,,1.0,0.001,1e-12,0,1,0.021898359060287476,16.595884323120117,0.5784254670143127
InvertingGradients,1,19,,,,,1.0,0.01,1e-14,0,1,0.10346365720033646,9.852121353149414,0.29001757502555847
InvertingGradients,1,20,,,,,1.0,0.01,1e-13,0,1,0.07709968835115433,11.129472732543945,0.30619049072265625
InvertingGradients,1,21,,,,,1.0,0.01,1e-12,0,1,0.02016427554190159,16.954172134399414,0.5914705395698547
InvertingGradients,1,22,,,,,1.0,0.1,1e-14,0,1,0.10656150430440903,9.72399616241455,0.2969478666782379
InvertingGradients,1,23,,,,,1.0,0.1,1e-13,0,1,0.08002573251724243,10.96770191192627,0.3120907247066498
InvertingGradients,1,24,,,,,1.0,0.1,1e-12,0,1,0.025921711698174477,15.863361358642578,0.5397680997848511
InvertingGradients,2,1,,,,,0.1,0.07525000000000001,7.525e-13,0,1,0.008289559744298458,20.81468391418457,0.818488359451294
InvertingGradients,2,2,,,,,0.1,0.07525000000000001,1e-12,0,1,0.008840296417474747,20.53533172607422,0.8092231154441833
InvertingGradients,2,3,,,,,0.1,0.07525000000000001,1.2475e-12,0,1,0.00945640541613102,20.24273681640625,0.7956008911132812
InvertingGradients,2,4,,,,,0.1,0.1,7.525e-13,0,1,0.008522243238985538,20.694459915161133,0.8170153498649597
InvertingGradients,2,5,,,,,0.1,0.1,1e-12,0,1,0.008993878960609436,20.460529327392578,0.8041322827339172
InvertingGradients,2,6,,,,,0.1,0.1,1.2475e-12,0,1,0.009352155029773712,20.29088020324707,0.7982596755027771
InvertingGradients,2,7,,,,,0.34750000000000003,0.07525000000000001,7.525e-13,0,1,0.019037656486034393,17.20386505126953,0.5833889842033386
InvertingGradients,2,8,,,,,0.34750000000000003,0.07525000000000001,1e-12,0,1,0.014528192579746246,18.377883911132812,0.6628080010414124
