Algorithm,Attack,Image,Run,Client,Input MSE,Input PSNR,Input SSIM
FedAvg,DLG,0,0,1,0.01470190566033125,18.326261520385742,0.7431135177612305
FedAvg,InvertingGradients,0,0,1,0.008161986246705055,20.882041931152344,0.7759069800376892
FedPer(K_p=1),DLG,0,0,1,0.0122373653575778,19.123119354248047,0.7714353203773499
FedPer(K_p=1),InvertingGradients,0,0,1,0.03871205821633339,14.121537208557129,0.5158990025520325
FedPer(K_p=2),DLG,0,0,1,0.0122373653575778,19.123119354248047,0.7714353203773499
FedPer(K_p=2),InvertingGradients,0,0,1,0.03871205821633339,14.121537208557129,0.5158990025520325
FedPer(K_p=3),DLG,0,0,1,0.011983687989413738,19.214096069335938,0.7758703827857971
FedPer(K_p=3),InvertingGradients,0,0,1,0.0345332957804203,14.617619514465332,0.5694900155067444
FedPer(K_p=4),DLG,0,0,1,0.011447559110820293,19.412870407104492,0.79071044921875
FedPer(K_p=4),InvertingGradients,0,0,1,0.029807070270180702,15.256806373596191,0.6081966757774353
Per-FedAvg(FO),DLG,0,0,1,0.0991891399025917,10.035357475280762,0.03342403098940849
Per-FedAvg(FO),InvertingGradients,0,0,1,0.3208172917366028,4.937422752380371,0.024854185059666634
Per-FedAvg(HF),DLG,0,0,1,0.2963806092739105,5.281501770019531,0.02530958317220211
Per-FedAvg(HF),InvertingGradients,0,0,1,0.3236176073551178,4.8996782302856445,0.019531121477484703
Per-FedAvg(HVP),DLG,0,0,1,0.0991891622543335,10.035357475280762,0.03342374041676521
Per-FedAvg(HVP),InvertingGradients,0,0,1,0.3236245810985565,4.899584770202637,0.019568582996726036
